ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"BIOPOLYMERIX, INC.",TYNGSBORO,MA,UNITED STATES,1,255975
"BIOPROBES, INC.",GAITHERSBURG,MD,UNITED STATES,3,284342
"BIOQUAL, INC.",ROCKVILLE,MD,UNITED STATES,10,7175162
"BIOSEARCH TECHNOLOGIES, INC.",NOVATO,CA,UNITED STATES,4,1095732
"BIOSEPARATIONS, INC.",TUCSON,AZ,UNITED STATES,1,99604
"BIOSERVE BIOTECHNOLOGIES, LTD",LAUREL,MD,UNITED STATES,1,215503
"BIOSTAR, INC.",BOULDER,CO,UNITED STATES,1,714974
"BIOSTATISTICAL PROGRAMMING ASSOC, INC.",ENGLEWOOD,NJ,UNITED STATES,1,359009
BIOTECH RESEARCH LABORATORIES,ROCKVILLE,MD,UNITED STATES,1,20252
"BIO-TECHNICAL RESOURCES, L.P.",MANITOWOC,WI,UNITED STATES,1,100000
"BIOTECHNICAL SERVICES, INC.",NORTH LITTLE ROCK,AR,UNITED STATES,3,675799
BIO-TECHNOLOGY GENERAL CORPORATION,NEW YORK,NY,UNITED STATES,1,0
BIOTECHNOLOGY RESEARCH INSTITUTE,ROCKVILLE,MD,UNITED STATES,3,784976
"BIO-TEK INSTRUMENTS, INC.",WINOOSKI,VT,UNITED STATES,2,458475
"BIOTEK, INC.",WOBURN,MA,UNITED STATES,9,1441308
"BIOTHERM, INC.",RALEIGH,NC,UNITED STATES,1,541383
"BIOTRANSPLANT, INC.",BOSTON,MA,UNITED STATES,3,300000
BIOTRONICS CORPORATION,LOWELL,MA,UNITED STATES,1,100000
"BIOVEST INTERNATIONAL, INC.",Minneapolis,MN,UNITED STATES,1,486857
"BITTECH, INC.",AGOURA HILLS,CA,UNITED STATES,1,100000
"BLACK FOREST ENGINEERING, INC.",COLORADO SPRINGS,CO,UNITED STATES,1,357059
BLOOD CENTER OF SOUTHEASTERN WISCONSIN,MILWAUKEE,WI,UNITED STATES,13,3941132
BLOOD CENTERS OF THE PACIFIC,SAN FRANCISCO,CA,UNITED STATES,2,593706
BLOOD SYSTEMS RESEARCH INSTITUTE,SAN FRANCISCO,CA,UNITED STATES,1,15600
BONNIE WALKER AND ASSOCIATES,CROFTON,MD,UNITED STATES,1,289115
BOSTON BIOMEDICAL RESEARCH INSTITUTE,WATERTOWN,MA,UNITED STATES,14,4649228
BOSTON BIOTECHNOLOGY CORPORATION,WATERTOWN,MA,UNITED STATES,1,99911
BOSTON COLLEGE,CHESTNUT HILL,MA,UNITED STATES,29,3483784
BOSTON HEALTH AND HOSPITALS DEPARTMENT,BOSTON,MA,UNITED STATES,9,1561552
